Email,Full name,Age,Gender,Low-So,Medical Condition,How often do you consume outside food?,Do you monitor salt intake?,Have you used any smart spoon?,Are you willing to try one?,Would you recommend it?,How important is taste in your meals?,What feature would you prefer?,Do you use any suggestions for reducing salt?,Any suggestions/comments?,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10
tvillarreal@young.net,Michael Nash,19,Male,Yes,No,Monthly,Never,Yes,Maybe,Yes,Important,Mobile App,Yes,Identify than response member sure.,Too Bland,More than 1 tsp,1/2 tsp,N/A,1/2 tsp,1/2 tsp,Perfect,N/A,1/2 tsp,1/2 tsp
cdavis@welch.com,Dr. Stacy Hamilton,49,Other,No,Yes,Not applicable,Never,No,Yes,Maybe,Not Important,Mobile App,No,Entire author assume learn play effect green seek.,1/2 tsp,N/A,Perfect,More than 1 tsp,Perfect,1/2 tsp,Perfect,1/2 tsp,Too Bland,Perfect
harrisjeffery@hotmail.com,Misty Vargas,40,Other,No,Yes,Rarely,Sometimes,No,Maybe,Yes,Not Important,Mobile App,Yes,Stock live west today war fly concern.,Too Salty,More than 1 tsp,Too Bland,N/A,1/4 tsp,N/A,Too Bland,1/4 tsp,Perfect,1/4 tsp
amberwyatt@rhodes.com,James Gallegos,62,Female,Yes,Yes,Not applicable,Sometimes,Maybe,Maybe,No,Important,Adjustable,No,Identify week yeah factor approach.,Perfect,Too Bland,Too Bland,Too Salty,N/A,N/A,Too Bland,More than 1 tsp,Perfect,Perfect
carpenteraaron@parker.org,Rachel Morales,47,Female,No,Yes,Daily,Never,No,Yes,Maybe,Not Important,Mobile App,No,Work personal ever try past want spend probably.,Perfect,More than 1 tsp,More than 1 tsp,Too Salty,Perfect,Too Salty,1/2 tsp,N/A,N/A,Perfect
ashleydaniels@hotmail.com,Christian Johnson,63,Other,Yes,Yes,Daily,Always,No,Yes,Maybe,Important,Adjustable,Yes,Side imagine here far other build upon Mr study reach.,Perfect,Perfect,Too Bland,Perfect,Too Salty,N/A,Too Bland,Too Bland,N/A,More than 1 tsp
sanderscory@gmail.com,Michael Luna,40,Female,Yes,No,Monthly,Sometimes,No,No,Maybe,Neutral,Adjustable,Yes,Upon image under believe material language most.,Too Bland,1/4 tsp,N/A,Too Bland,Perfect,1/4 tsp,N/A,Too Bland,More than 1 tsp,1/4 tsp
zhensley@cox.com,Melissa Douglas,28,Female,Yes,Yes,Weekly,Always,Yes,No,No,Neutral,Voice Control,Yes,Play wide single structure still.,N/A,1/4 tsp,1/2 tsp,More than 1 tsp,N/A,Too Salty,N/A,N/A,1/4 tsp,N/A
diamondpowell@hotmail.com,Jeffrey Wilson,20,Other,Yes,Yes,Daily,Sometimes,Yes,No,Yes,Important,Simple UI,No,Offer yes including their safe next the tough spring move.,N/A,1/2 tsp,More than 1 tsp,More than 1 tsp,1/2 tsp,More than 1 tsp,1/2 tsp,1/4 tsp,Perfect,N/A
bensonsteven@freeman-castillo.com,Jose Spencer,35,Other,Yes,No,Rarely,Never,Yes,No,Yes,Not Important,Mobile App,Yes,Great every model able.,Too Bland,Perfect,Too Bland,Too Salty,Perfect,More than 1 tsp,Perfect,1/4 tsp,Too Bland,Too Bland
powellheidi@yahoo.com,William Perez,27,Female,No,No,Monthly,Never,No,No,No,Not Important,Simple UI,No,Among free parent enough everybody capital key.,Too Salty,1/2 tsp,1/4 tsp,Too Bland,Perfect,More than 1 tsp,1/4 tsp,Too Bland,Too Salty,Perfect
mwalker@gmail.com,Stephen Barrett,57,Female,Yes,Yes,Rarely,Never,Maybe,Yes,No,Very Important,Automated,No,Law city exactly remain lot city something at.,1/4 tsp,Perfect,Too Bland,Too Bland,More than 1 tsp,Too Bland,Too Bland,Too Salty,Too Salty,Perfect
ayalajames@gmail.com,Dawn Mitchell,63,Female,Yes,No,Daily,Always,Yes,Maybe,Maybe,Very Important,Adjustable,No,Great Mrs Congress southern rule before role.,Too Salty,Too Salty,More than 1 tsp,More than 1 tsp,More than 1 tsp,Too Bland,Perfect,N/A,Too Salty,More than 1 tsp
lschroeder@nelson.com,Christine Jackson,19,Female,No,No,Weekly,Never,Yes,Yes,Yes,Very Important,Adjustable,No,Return happy grow air mean point.,More than 1 tsp,Perfect,1/4 tsp,N/A,More than 1 tsp,Too Bland,1/2 tsp,1/2 tsp,N/A,Perfect
michelle40@daugherty.com,Lauren Davis,28,Male,Yes,No,Rarely,Sometimes,Yes,Maybe,Maybe,Neutral,Automated,Yes,Minute teach serve partner guy our begin identify.,Too Salty,Too Salty,1/2 tsp,Perfect,Too Salty,Too Salty,1/4 tsp,More than 1 tsp,1/4 tsp,Too Salty
charleskim@baker.com,Richard Campbell,30,Male,Yes,No,Rarely,Never,No,No,Maybe,Very Important,Simple UI,No,Important city maintain summer church.,1/4 tsp,N/A,N/A,Perfect,N/A,1/4 tsp,1/4 tsp,N/A,More than 1 tsp,1/4 tsp
richardsonsydney@gmail.com,Jamie Coleman MD,43,Male,No,Yes,Weekly,Always,No,Maybe,Maybe,Neutral,Automated,Yes,Administration tough who specific first worker fill also.,More than 1 tsp,More than 1 tsp,Perfect,Perfect,1/2 tsp,Too Bland,N/A,1/2 tsp,N/A,1/4 tsp
wallacelee@yahoo.com,Alexander Donovan,29,Other,No,Yes,Rarely,Never,Maybe,Yes,Yes,Important,Adjustable,No,Different short short place.,N/A,Too Salty,1/2 tsp,1/4 tsp,Perfect,More than 1 tsp,Too Bland,More than 1 tsp,Perfect,N/A
melindaweaver@gmail.com,Michael Kirk,23,Female,No,Yes,Monthly,Sometimes,Yes,No,No,Not Important,Automated,Yes,Shoulder state nearly responsibility recently stand eat.,More than 1 tsp,More than 1 tsp,N/A,Perfect,More than 1 tsp,Perfect,N/A,1/2 tsp,Too Salty,Too Bland
yrogers@young.com,Henry Gray,30,Male,No,No,Not applicable,Always,No,No,No,Not Important,Adjustable,No,Part suggest region few cut world something.,Too Bland,1/4 tsp,Too Salty,More than 1 tsp,Too Bland,1/2 tsp,1/4 tsp,Perfect,More than 1 tsp,Perfect
priscillajohnson@gmail.com,Olivia Villegas,57,Female,No,Yes,Rarely,Always,No,Maybe,Yes,Important,Mobile App,No,After benefit state boy opportunity senior member time rate morning.,1/4 tsp,Too Salty,More than 1 tsp,N/A,N/A,1/2 tsp,More than 1 tsp,Perfect,Too Bland,Too Bland
lucasanderson@gmail.com,Larry Hudson,41,Male,No,Yes,Not applicable,Always,Yes,Yes,Yes,Neutral,Voice Control,No,Collection nature red born leg.,Too Salty,Too Salty,1/4 tsp,Too Salty,More than 1 tsp,Too Bland,Too Salty,1/4 tsp,Too Salty,1/4 tsp
patrickruiz@gmail.com,Ian Webster,46,Other,No,Yes,Daily,Sometimes,Maybe,Maybe,Yes,Very Important,Mobile App,Yes,Tonight others money prevent rise hold true everything.,1/4 tsp,Perfect,Too Salty,1/2 tsp,N/A,1/4 tsp,Too Salty,1/4 tsp,1/4 tsp,N/A
lwilson@gmail.com,Timothy Ellis,51,Male,No,No,Daily,Never,Yes,No,Maybe,Not Important,Automated,No,Whether idea laugh approach author wife three.,1/2 tsp,More than 1 tsp,N/A,N/A,1/2 tsp,Too Bland,More than 1 tsp,N/A,Perfect,Too Bland
kristafox@jones.com,Shawn Roberts,24,Other,No,No,Weekly,Never,No,No,Yes,Neutral,Automated,No,Specific friend summer where fall economic.,More than 1 tsp,1/4 tsp,Too Salty,Too Salty,N/A,Perfect,Perfect,1/2 tsp,More than 1 tsp,1/4 tsp
kaufmannicholas@brewer.org,Angela Bailey,51,Other,Yes,No,Rarely,Always,Maybe,Maybe,No,Important,Automated,No,Official country take notice wind.,More than 1 tsp,Too Bland,Perfect,1/4 tsp,Too Bland,Too Salty,1/2 tsp,Perfect,More than 1 tsp,N/A
omunoz@sanders.biz,Daniel Glenn,21,Male,Yes,Yes,Daily,Always,Maybe,No,No,Neutral,Voice Control,No,When whatever visit decision art particular culture back.,N/A,1/2 tsp,1/4 tsp,1/4 tsp,1/4 tsp,Too Bland,N/A,1/4 tsp,More than 1 tsp,Perfect
brendajackson@rowe.biz,Andrea Bean,28,Female,Yes,Yes,Daily,Never,Maybe,Maybe,Yes,Not Important,Simple UI,No,Find wide single speech feel same major continue than shake.,N/A,Too Salty,1/2 tsp,1/4 tsp,More than 1 tsp,Perfect,Perfect,Too Bland,Too Salty,Too Salty
austin00@yahoo.com,Robin Neal,48,Female,No,No,Weekly,Always,Maybe,Maybe,No,Important,Adjustable,Yes,Race window west six provide ever also occur.,Too Salty,N/A,1/4 tsp,More than 1 tsp,Perfect,1/4 tsp,Too Salty,1/2 tsp,Too Bland,1/4 tsp
earlbaker@davis.com,Nicole Martinez,59,Female,Yes,No,Not applicable,Sometimes,Maybe,No,Yes,Important,Mobile App,Yes,Direction new themselves third big policy everybody any travel manager.,Too Salty,1/2 tsp,N/A,Perfect,N/A,Too Bland,More than 1 tsp,Perfect,1/4 tsp,Perfect
deborah92@whitney.com,Danielle Santiago,43,Female,Yes,No,Monthly,Never,Maybe,No,No,Neutral,Automated,Yes,Plan stand town bar ago sure.,Too Salty,Too Bland,Perfect,1/2 tsp,Too Bland,Too Salty,Perfect,1/2 tsp,1/2 tsp,Too Bland
pneal@king.com,Matthew Hodges,22,Other,No,No,Not applicable,Sometimes,Yes,No,Maybe,Neutral,Automated,No,Somebody behavior race positive near.,More than 1 tsp,N/A,1/2 tsp,Too Bland,Perfect,1/2 tsp,Too Salty,Perfect,N/A,N/A
matthewjoyce@hill.biz,Andrew Leonard,39,Female,No,No,Monthly,Always,No,Maybe,Maybe,Neutral,Automated,No,Side condition race reality degree happen seat drug.,1/2 tsp,Too Bland,1/4 tsp,1/2 tsp,Perfect,Too Bland,Perfect,More than 1 tsp,1/2 tsp,Perfect
josephcamacho@hotmail.com,Abigail Jimenez,56,Female,No,Yes,Daily,Always,No,No,No,Important,Automated,Yes,Trip nearly church five dog difference.,1/4 tsp,Perfect,1/2 tsp,Perfect,1/2 tsp,Too Salty,Perfect,More than 1 tsp,More than 1 tsp,1/4 tsp
murphyashley@anderson.com,Robin Martinez,30,Male,Yes,No,Daily,Always,Yes,No,No,Very Important,Simple UI,Yes,Thus likely computer develop fast point rich chair what own.,More than 1 tsp,Too Salty,Too Bland,Too Salty,1/2 tsp,1/2 tsp,1/4 tsp,1/2 tsp,1/4 tsp,Too Bland
hweeks@howard.com,Timothy Wood,23,Female,No,Yes,Weekly,Sometimes,No,No,Maybe,Important,Adjustable,No,Source food strong perform take perhaps.,1/4 tsp,More than 1 tsp,1/4 tsp,N/A,Perfect,Too Salty,N/A,Too Bland,Too Bland,Perfect
pbaker@gmail.com,Brian Lee,18,Other,Yes,No,Weekly,Never,Yes,Maybe,Maybe,Important,Automated,No,Project after quickly deal certain.,More than 1 tsp,More than 1 tsp,Too Salty,1/2 tsp,1/2 tsp,N/A,1/4 tsp,Too Bland,Perfect,Too Salty
john29@gmail.com,Todd Adams,43,Other,Yes,Yes,Rarely,Sometimes,Maybe,Maybe,Maybe,Neutral,Automated,No,Defense usually huge any language.,N/A,Perfect,1/2 tsp,Too Salty,N/A,More than 1 tsp,N/A,More than 1 tsp,1/2 tsp,Perfect
padillaalexander@yahoo.com,Angel Moore,42,Female,No,No,Daily,Never,No,No,Yes,Very Important,Automated,Yes,Stuff create focus single able bad strategy wind social agency.,N/A,More than 1 tsp,More than 1 tsp,Too Bland,Too Bland,Perfect,More than 1 tsp,Too Salty,N/A,Too Bland
mitchelllisa@simpson-garrett.net,Larry Barr,42,Male,Yes,Yes,Monthly,Never,Yes,Maybe,Yes,Important,Voice Control,No,Spring well turn yeah successful voice most.,Too Bland,N/A,More than 1 tsp,N/A,Too Salty,N/A,Too Salty,N/A,More than 1 tsp,1/4 tsp
judy70@gmail.com,Stacy Casey,26,Other,Yes,Yes,Daily,Always,Maybe,Yes,No,Neutral,Adjustable,No,Billion once across dark third build decide remember budget cover.,Too Bland,Too Bland,Too Bland,More than 1 tsp,Perfect,1/2 tsp,1/2 tsp,N/A,1/2 tsp,Too Bland
aweber@yahoo.com,James Ray,25,Female,No,No,Rarely,Sometimes,Yes,Yes,No,Very Important,Mobile App,Yes,Herself while serious test his student rich year rate fish.,1/2 tsp,More than 1 tsp,Too Bland,More than 1 tsp,Too Bland,N/A,1/4 tsp,1/4 tsp,Too Salty,Too Bland
anthony57@robinson.net,Danielle Wade,47,Other,Yes,Yes,Monthly,Sometimes,Maybe,Yes,Yes,Not Important,Voice Control,No,Stock weight small eight worker.,1/4 tsp,N/A,N/A,N/A,Too Salty,Too Salty,N/A,More than 1 tsp,Too Bland,N/A
romerojames@gmail.com,Teresa Bowers,43,Female,No,Yes,Daily,Always,Yes,Maybe,No,Very Important,Mobile App,Yes,Improve drug grow check necessary by past break pretty fill.,N/A,More than 1 tsp,1/2 tsp,Too Salty,Perfect,1/2 tsp,Perfect,1/4 tsp,1/4 tsp,Perfect
igordon@yahoo.com,Charles Smith,50,Other,No,No,Daily,Always,No,No,Yes,Not Important,Mobile App,Yes,Television as building price voice contain body gas.,1/2 tsp,Perfect,1/4 tsp,Perfect,Perfect,1/2 tsp,More than 1 tsp,1/2 tsp,N/A,Too Salty
fulleramy@yahoo.com,Dr. Christopher Whitney,30,Female,No,No,Monthly,Sometimes,Maybe,Yes,Maybe,Neutral,Voice Control,No,Practice plant partner case early participant administration soldier wife later.,N/A,1/2 tsp,1/2 tsp,Too Bland,N/A,1/2 tsp,1/4 tsp,N/A,More than 1 tsp,N/A
veronicaguzman@bates-cruz.com,Sharon Rich,41,Female,No,Yes,Weekly,Sometimes,Yes,Yes,No,Very Important,Voice Control,No,Quickly try especially than kitchen.,N/A,1/2 tsp,Too Bland,Perfect,More than 1 tsp,Too Bland,N/A,1/4 tsp,More than 1 tsp,Too Salty
taylorwalker@hotmail.com,Timothy Brady,40,Female,Yes,Yes,Daily,Sometimes,Maybe,No,Yes,Very Important,Voice Control,Yes,Require western community party man teach explain.,Too Salty,Too Salty,1/2 tsp,Perfect,Perfect,1/4 tsp,More than 1 tsp,Too Bland,1/4 tsp,Too Salty
phamamber@gmail.com,Candice Nunez,60,Other,Yes,Yes,Not applicable,Sometimes,No,Yes,No,Neutral,Mobile App,No,White character dream training opportunity fall sure hope summer out.,More than 1 tsp,Too Salty,1/4 tsp,N/A,More than 1 tsp,Too Bland,1/4 tsp,Perfect,Perfect,Perfect
bentonthomas@graham-jones.biz,Jonathan Walker,30,Female,Yes,No,Not applicable,Sometimes,Yes,Maybe,Yes,Very Important,Automated,Yes,Feel we individual kind similar term during project.,More than 1 tsp,1/2 tsp,Too Bland,More than 1 tsp,Too Salty,Perfect,Too Salty,1/4 tsp,Perfect,Too Salty
randy61@gmail.com,Nathan Washington,32,Male,Yes,No,Daily,Never,Maybe,Maybe,Maybe,Very Important,Adjustable,No,Born majority forward moment play seem far rate magazine win middle.,N/A,1/4 tsp,Perfect,More than 1 tsp,1/2 tsp,Too Salty,N/A,Too Bland,More than 1 tsp,Perfect
kkaufman@yahoo.com,William Santos,32,Male,No,No,Weekly,Never,Maybe,Maybe,Maybe,Very Important,Voice Control,No,Huge side scene ok hand player boy.,More than 1 tsp,1/4 tsp,Too Bland,Perfect,More than 1 tsp,1/4 tsp,1/4 tsp,Too Bland,Too Bland,1/4 tsp
umartin@fernandez.biz,Stephanie Serrano,56,Other,Yes,Yes,Weekly,Always,Maybe,Yes,No,Very Important,Voice Control,Yes,Report manager or nice understand common explain director.,1/2 tsp,More than 1 tsp,Too Bland,1/4 tsp,1/4 tsp,N/A,Too Bland,More than 1 tsp,More than 1 tsp,Perfect
tmckinney@munoz-burton.com,Jose Kaiser,28,Other,Yes,No,Not applicable,Sometimes,Maybe,Maybe,Yes,Very Important,Adjustable,No,On safe up animal interview music across by somebody guy sign.,Too Bland,1/2 tsp,1/2 tsp,More than 1 tsp,1/4 tsp,1/2 tsp,More than 1 tsp,1/4 tsp,1/2 tsp,Perfect
woodsjanet@yahoo.com,Shirley Mckay,56,Other,No,No,Daily,Always,No,Yes,Yes,Neutral,Automated,Yes,Him rate five tonight.,Too Salty,1/2 tsp,Too Salty,Too Bland,1/4 tsp,Perfect,N/A,Perfect,Too Bland,Perfect
catherinewatson@gmail.com,Sheila Donovan,24,Female,Yes,No,Monthly,Never,Maybe,Maybe,Yes,Very Important,Mobile App,No,Mouth with either their today.,N/A,Perfect,1/2 tsp,Too Salty,1/4 tsp,1/4 tsp,N/A,Too Bland,Too Salty,Too Bland
jennifer96@yahoo.com,Sierra Nichols,35,Other,No,Yes,Rarely,Never,Maybe,No,Yes,Important,Adjustable,No,Production mission value crime easy these be.,1/4 tsp,1/2 tsp,N/A,1/2 tsp,1/4 tsp,Too Salty,Perfect,Perfect,Too Salty,Perfect
shane21@mullen.biz,Richard Bond,32,Female,Yes,Yes,Daily,Never,No,Yes,No,Very Important,Simple UI,No,Product goal music five which employee the boy computer I but.,1/4 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,N/A,N/A,1/2 tsp,More than 1 tsp,Perfect,1/2 tsp
edwardstimothy@hotmail.com,Jennifer Conrad,25,Male,No,Yes,Weekly,Always,No,Yes,No,Not Important,Simple UI,Yes,Seven voice forget through nothing realize base particular will.,Too Bland,Too Bland,N/A,Perfect,1/2 tsp,Perfect,Too Salty,1/4 tsp,Too Bland,1/4 tsp
zwalker@hotmail.com,Jill Thompson MD,45,Male,No,No,Daily,Sometimes,No,Maybe,No,Important,Adjustable,Yes,Bag manage science paper reality finish tough accept affect happen.,1/2 tsp,Too Salty,1/4 tsp,1/4 tsp,Too Salty,Too Salty,Perfect,Too Salty,1/4 tsp,Perfect
zhawkins@gmail.com,Lisa Miller,44,Other,No,No,Monthly,Always,No,Yes,Maybe,Important,Adjustable,No,Reveal stuff note front control student pass.,Too Salty,Too Bland,Too Salty,More than 1 tsp,Perfect,Perfect,N/A,Too Salty,Perfect,Too Bland
charles15@yahoo.com,Alex Rodriguez,18,Male,Yes,Yes,Weekly,Always,No,Yes,Yes,Very Important,Automated,No,Notice reveal maybe pay everybody apply despite reach.,Perfect,Too Bland,Perfect,More than 1 tsp,Too Bland,1/4 tsp,Too Bland,More than 1 tsp,Too Salty,1/2 tsp
fishercharles@johnson.biz,Anthony Cunningham,33,Other,Yes,No,Monthly,Never,No,No,No,Not Important,Mobile App,No,Onto get practice back seven candidate rock form difference thought.,1/2 tsp,Too Salty,Too Salty,More than 1 tsp,More than 1 tsp,1/2 tsp,Perfect,Too Salty,Too Bland,Too Salty
zwiggins@yahoo.com,Jessica Love,33,Other,No,Yes,Monthly,Always,Maybe,Yes,Yes,Important,Mobile App,No,People party cost former base play never.,N/A,More than 1 tsp,1/4 tsp,Perfect,1/4 tsp,Too Salty,More than 1 tsp,Too Salty,Too Salty,More than 1 tsp
monica76@davis.net,Leslie Rivera,51,Female,No,No,Monthly,Always,Maybe,No,Yes,Not Important,Voice Control,Yes,Development you add energy article.,Perfect,N/A,More than 1 tsp,Too Bland,Perfect,Too Bland,Too Bland,More than 1 tsp,Too Salty,More than 1 tsp
robertanderson@washington.com,Christopher Lopez,52,Male,No,Yes,Monthly,Always,No,Maybe,Maybe,Important,Simple UI,Yes,Cover might dinner beautiful pull day think image.,More than 1 tsp,Too Bland,Too Salty,Perfect,1/2 tsp,N/A,More than 1 tsp,Perfect,1/4 tsp,More than 1 tsp
georgeandrews@james-martinez.net,Amber Cameron,41,Male,Yes,No,Daily,Always,Yes,No,Yes,Important,Adjustable,Yes,Mission again nearly focus drug rest rather list thank up want.,N/A,Too Bland,Too Bland,Too Salty,N/A,More than 1 tsp,N/A,More than 1 tsp,1/2 tsp,1/2 tsp
michaeldiaz@yahoo.com,Erica Huffman,26,Female,Yes,No,Rarely,Always,Maybe,Maybe,No,Very Important,Simple UI,Yes,Now alone type political play.,More than 1 tsp,1/4 tsp,1/4 tsp,More than 1 tsp,N/A,Perfect,1/4 tsp,Too Salty,Too Bland,Perfect
igibson@hotmail.com,Nicholas Turner,59,Other,No,No,Monthly,Sometimes,Yes,Yes,Maybe,Important,Simple UI,Yes,Article skill across blue help speech.,More than 1 tsp,1/4 tsp,1/2 tsp,Perfect,More than 1 tsp,1/4 tsp,1/2 tsp,1/4 tsp,More than 1 tsp,N/A
walkerstephanie@martinez.com,Amanda Nelson,32,Male,Yes,Yes,Daily,Always,Maybe,No,Maybe,Very Important,Simple UI,Yes,Game follow big process heart bank small friend.,1/4 tsp,Perfect,1/4 tsp,N/A,Too Salty,N/A,Too Bland,N/A,Too Bland,Perfect
dstewart@yahoo.com,David Wright,33,Female,Yes,Yes,Not applicable,Sometimes,Yes,No,Yes,Not Important,Mobile App,No,Control wide see memory summer today we door film idea.,1/2 tsp,1/4 tsp,Too Salty,Perfect,Too Bland,1/2 tsp,Too Bland,1/4 tsp,Perfect,Too Salty
powersjeremy@hotmail.com,Arthur Davis,52,Male,Yes,Yes,Rarely,Never,Maybe,Maybe,No,Important,Adjustable,No,If remain meet international billion get especially director.,N/A,Perfect,Too Bland,1/2 tsp,N/A,N/A,1/4 tsp,N/A,1/4 tsp,N/A
wagnerann@arnold.com,Jerry Schwartz,62,Female,No,No,Not applicable,Never,Yes,Yes,Maybe,Important,Voice Control,No,Themselves realize even any into staff community.,N/A,Too Bland,1/2 tsp,1/2 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,N/A,1/4 tsp,N/A
barberpaula@wise.com,Steven Anderson,23,Other,Yes,Yes,Not applicable,Never,No,Maybe,No,Very Important,Adjustable,Yes,Station say place night score painting responsibility.,Perfect,Too Salty,More than 1 tsp,N/A,1/4 tsp,Too Salty,N/A,Too Salty,1/2 tsp,1/2 tsp
zachary86@gmail.com,Jenna Thompson,35,Male,Yes,Yes,Weekly,Never,Yes,Maybe,Yes,Very Important,Voice Control,Yes,Middle work cost crime send final.,1/2 tsp,Too Salty,1/2 tsp,Too Bland,Too Salty,More than 1 tsp,More than 1 tsp,1/4 tsp,Too Bland,Too Bland
burgesskimberly@mccormick.net,Julia Morgan,59,Other,Yes,No,Not applicable,Sometimes,No,No,Yes,Very Important,Simple UI,Yes,Discussion act support head particularly claim put both program condition.,N/A,N/A,Too Salty,More than 1 tsp,Too Bland,Too Bland,1/2 tsp,N/A,More than 1 tsp,N/A
uclay@gmail.com,Rebecca Mccoy,22,Male,No,No,Daily,Always,Maybe,Yes,Maybe,Important,Mobile App,Yes,Not way our concern leave.,Perfect,Too Bland,1/2 tsp,N/A,Too Salty,Perfect,1/4 tsp,1/2 tsp,Too Salty,Too Salty
